                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                  1.076,                 1.5726,                 1.1721,                 0.9407,                    0.5,                0.65952,                0.36996,                 2.0853,                 3.4448,                 2.0126,             0.00083516,             0.00083516,             0.00083516
                     29,                0.85525,                 1.2872,                 1.0298,                0.64672,                    0.6,                 0.6871,                0.45483,                 1.8815,                 2.9525,                 2.0074,             0.00086239,             0.00086239,             0.00086239
                     30,                0.91695,                 1.3891,                 1.0482,                0.72965,                0.75365,                0.83437,                0.51472,                 1.5917,                 2.5909,                 1.7159,             0.00088941,             0.00088941,             0.00088941
                     31,                0.90481,                 1.2578,                 1.0827,                0.72965,                0.75365,                0.83437,                0.51472,                 1.5917,                 2.5909,                 1.7159,              0.0009162,              0.0009162,              0.0009162
                     32,                 1.0004,                 1.4043,                 1.1967,                0.84596,                0.96985,                0.85286,                0.51787,                 1.6469,                 2.7057,                 1.7033,             0.00094277,             0.00094277,             0.00094277
                     33,                 1.1046,                 1.6445,                 1.1924,                0.79123,                0.97879,                0.84562,                0.62896,                 1.3158,                 2.3391,                  1.416,             0.00096913,             0.00096913,             0.00096913
                     34,                0.78264,                 1.4143,                 1.0889,                0.79123,                0.97879,                0.84562,                0.62896,                 1.3158,                 2.3391,                  1.416,             0.00099526,             0.00099526,             0.00099526
                     35,                 1.0474,                 1.6802,                 1.1828,                 0.9587,                0.89281,                0.97833,                0.70274,                 1.2351,                 1.8832,                 1.3337,              0.0010212,              0.0010212,              0.0010212
                     36,                  0.945,                 1.4389,                 1.1276,                0.92135,                    0.8,                0.91722,                0.63588,                 1.1789,                 1.9533,                 1.2427,              0.0010469,              0.0010469,              0.0010469
                     37,                0.85932,                 1.5348,                 1.1004,                0.92135,                    0.8,                0.91722,                0.63588,                 1.1789,                 1.9533,                 1.2427,              0.0010723,              0.0010723,              0.0010723
                     38,                0.93931,                 1.3892,                 1.0797,                0.68314,                    0.7,                0.79667,                0.57144,                 1.1644,                 2.1628,                 1.2478,              0.0010976,              0.0010976,              0.0010976
                     39,                 1.0188,                 1.5748,                 1.2268,                0.98204,                0.89362,                0.93346,                0.73654,                 1.0359,                 1.9155,                 1.1729,              0.0011226,              0.0011226,              0.0011226
                     40,                0.89918,                  1.426,                 1.1009,                0.98204,                0.89362,                0.93346,                0.73654,                 1.0359,                 1.9155,                 1.1729,              0.0011474,              0.0011474,              0.0011474
                     41,                 1.0024,                 1.5435,                 1.2032,                0.98707,                0.96626,                  0.995,                0.72523,                 1.1752,                 1.8465,                 1.2375,               0.001172,               0.001172,               0.001172
                     42,                0.95719,                 1.3822,                 1.1238,                0.92883,                 0.9797,                  0.995,                0.71456,                 1.2217,                 2.0387,                 1.5488,              0.0011964,              0.0011964,              0.0011964
                     43,                 1.0063,                 1.3949,                 1.2609,                0.92883,                 0.9797,                  0.995,                0.71456,                 1.2217,                 2.0387,                 1.5488,              0.0012206,              0.0012206,              0.0012206
                     44,                0.98777,                  1.381,                 1.1688,                0.93567,                0.87955,                 0.9575,                0.69986,                 1.1937,                 2.0734,                 1.5241,              0.0012445,              0.0012445,              0.0012445
                     45,                0.98445,                 1.4054,                  1.204,                0.93567,                0.87955,                 0.9575,                0.69986,                 1.1937,                 2.0734,                 1.5241,              0.0012682,              0.0012682,              0.0012682
                     46,                0.87707,                 1.2793,                 1.0428,                 0.9546,                    0.9,                0.95056,                0.56865,                 1.4441,                 2.2553,                 1.5407,              0.0012917,              0.0012917,              0.0012917
                     47,                0.99605,                  1.466,                 1.1836,                 0.9546,                    0.9,                0.95056,                0.56865,                 1.4441,                 2.2553,                 1.5407,               0.001315,               0.001315,               0.001315
                     48,                0.95184,                 1.5276,                  1.196,                0.78834,                      1,                0.96167,                0.48982,                 1.4694,                 2.2917,                 1.5756,               0.001338,               0.001338,               0.001338
                     49,                0.95919,                 1.3662,                 1.0947,                0.78834,                      1,                0.96167,                0.48982,                 1.4694,                 2.2917,                 1.5756,              0.0013609,              0.0013609,              0.0013609
                     50,                0.85117,                 1.4858,                 1.1189,                0.76175,                0.95245,                0.82917,                0.39117,                 1.5491,                 2.6782,                 1.6751,              0.0013835,              0.0013835,              0.0013835
                     51,                 1.0311,                 1.4056,                 1.2163,                0.76175,                0.95245,                0.82917,                0.39117,                 1.5491,                 2.6782,                 1.6751,              0.0013919,              0.0013919,              0.0013919
                     52,                0.87868,                 1.5038,                 1.1733,                0.58542,                0.78993,                0.77417,                0.32983,                 1.4742,                  3.262,                 1.8084,              0.0013919,              0.0013919,              0.0013919
                     53,                 1.0113,                 1.4311,                 1.2076,                0.58542,                0.78993,                0.77417,                0.32983,                 1.4742,                  3.262,                 1.8084,              0.0013864,              0.0013864,              0.0013864
                     54,                0.89277,                 1.3341,                 1.1105,                  0.735,                    0.5,                 0.6581,                0.28026,                 1.3512,                 3.8534,                 1.5455,              0.0013809,              0.0013809,              0.0013809
                     55,                0.90267,                 1.4445,                 1.1754,                  0.735,                    0.5,                 0.6581,                0.28026,                 1.3512,                 3.8534,                 1.5455,              0.0013754,              0.0013754,              0.0013754
                     56,                0.90538,                 1.3065,                 1.1878,                 0.7978,                    0.5,                0.59327,                0.26405,                 1.6052,                 4.5585,                 1.8505,              0.0013699,              0.0013699,              0.0013699
                     57,                0.77933,                 1.2085,                 1.0613,                 0.7978,                    0.5,                0.59327,                0.26405,                 1.6052,                 4.5585,                 1.8505,              0.0013644,              0.0013644,              0.0013644
                     58,                0.80747,                 1.1986,                 1.1216,                      1,                0.45818,                0.72833,                0.44752,                 1.4124,                 4.4625,                 2.1322,              0.0013589,              0.0013589,              0.0013589
                     59,                0.95307,                 1.3932,                 1.1853,                      1,                0.45818,                0.72833,                0.44752,                 1.4124,                 4.4625,                 2.1322,              0.0013534,              0.0013534,              0.0013534
                     60,                0.85979,                 1.2364,                 1.0947,                0.82055,                    0.5,                0.63667,                0.41601,                  1.603,                 3.5324,                 1.8212,              0.0013479,              0.0013479,              0.0013479
                     61,                 0.8189,                 1.1876,                  1.035,                0.82055,                    0.5,                0.63667,                0.41601,                  1.603,                 3.5324,                 1.8212,              0.0013424,              0.0013424,              0.0013424
                     62,                0.85318,                 1.2423,                 1.0851,                0.64421,                  0.635,                0.69167,                 0.5099,                 1.2051,                  3.021,                 1.3072,              0.0013369,              0.0013369,              0.0013369
                     63,                0.82347,                 1.3376,                 1.1266,                0.64421,                  0.635,                0.69167,                 0.5099,                 1.2051,                  3.021,                 1.3072,              0.0013314,              0.0013314,              0.0013314
                     64,                 1.1522,                 1.6165,                 1.3488,                0.64669,                0.68869,                 0.8431,                0.59855,                  1.025,                 2.6637,                 1.2336,              0.0013259,              0.0013259,              0.0013259
                     65,                0.89734,                 1.3043,                 1.1501,                0.64669,                0.68869,                 0.8431,                0.59855,                  1.025,                 2.6637,                 1.2336,              0.0013204,              0.0013204,              0.0013204
                     66,                0.88743,                 1.3038,                 1.1639,                0.69777,                    0.9,                0.79273,                0.53811,                 1.5181,                 2.3936,                 1.6848,              0.0013149,              0.0013149,              0.0013149
                     67,                0.77873,                 1.2724,                  1.082,                0.69777,                    0.9,                0.79273,                0.53811,                 1.5181,                 2.3936,                 1.6848,              0.0013094,              0.0013094,              0.0013094
                     68,                0.83948,                 1.1403,                  1.085,                 0.8068,                   0.65,                0.75278,                0.43454,                 1.6045,                  2.575,                 1.9514,              0.0013039,              0.0013039,              0.0013039
                     69,                0.92579,                 1.2131,                 1.1489,                 0.8068,                   0.65,                0.75278,                0.43454,                 1.6045,                  2.575,                 1.9514,              0.0012984,              0.0012984,              0.0012984
                     70,                0.86653,                 1.1946,                 1.0846,                0.42467,                   0.65,                0.50333,                 0.2313,                 1.6625,                  2.944,                 1.8196,              0.0012929,              0.0012929,              0.0012929
                     71,                0.76204,                 1.1913,                 1.0556,                0.42467,                   0.65,                0.50333,                 0.2313,                 1.6625,                  2.944,                 1.8196,              0.0012874,              0.0012874,              0.0012874
                     72,                0.85694,                 1.2341,                  1.094,                0.36238,                   0.75,                0.50652,                0.22747,                 1.3799,                   2.52,                 1.6123,              0.0012819,              0.0012819,              0.0012819
                     73,                0.84566,                 1.1769,                 1.0658,                0.36238,                   0.75,                0.50652,                0.22747,                 1.3799,                   2.52,                 1.6123,              0.0012764,              0.0012764,              0.0012764
                     74,                0.95777,                 1.3072,                 1.1659,                0.79418,                   0.75,                0.77379,                0.52252,                 1.0638,                 1.9625,                 1.2072,              0.0012709,              0.0012709,              0.0012709
                     75,                0.79865,                 1.0602,                 1.0474,                0.79418,                   0.75,                0.77379,                0.52252,                 1.0638,                 1.9625,                 1.2072,              0.0012654,              0.0012654,              0.0012654
                     76,                0.84255,                 1.1593,                 1.0786,                0.93373,                0.96287,                  0.995,                0.72667,                 1.1162,                 1.7166,                 1.2494,              0.0012599,              0.0012599,              0.0012599
                     77,                0.80572,                 1.1693,                 1.0645,                0.93373,                0.96287,                  0.995,                0.72667,                 1.1162,                 1.7166,                 1.2494,              0.0012544,              0.0012544,              0.0012544
                     78,                0.90971,                 1.2114,                 1.1135,                0.55516,                      1,                0.85452,                0.62839,                0.99686,                 1.7013,                 1.2255,              0.0012489,              0.0012489,              0.0012489
                     79,                0.99344,                 1.2235,                 1.2144,                0.55516,                      1,                0.85452,                0.62839,                0.99686,                 1.7013,                 1.2255,              0.0012434,              0.0012434,              0.0012434
                     80,                0.81075,                 1.1139,                 1.0835,                0.70985,                0.98266,                  0.995,                0.76659,                 0.8779,                 1.5748,                 1.1152,              0.0012379,              0.0012379,              0.0012379
                     81,                0.79918,                 1.0966,                 1.0701,                0.70985,                0.98266,                  0.995,                0.76659,                 0.8779,                 1.5748,                 1.1152,              0.0012324,              0.0012324,              0.0012324
                     82,                 0.8378,                 1.0371,                 1.0806,                0.76375,                0.91089,                  0.995,                0.72644,                0.88771,                 1.6155,                  1.137,              0.0012269,              0.0012269,              0.0012269
                     83,                0.88149,                 1.1793,                 1.1396,                0.76375,                0.91089,                  0.995,                0.72644,                0.88771,                 1.6155,                  1.137,              0.0012214,              0.0012214,              0.0012214
                     84,                0.79636,                 1.0626,                 1.0979,                0.62682,                0.87693,                0.97833,                0.67067,                 1.0046,                 2.0388,                 1.2289,              0.0012159,              0.0012159,              0.0012159
                     85,                0.84636,                 1.0567,                 1.0714,                0.62682,                0.87693,                0.97833,                0.67067,                 1.0046,                 2.0388,                 1.2289,              0.0012104,              0.0012104,              0.0012104
                     86,                0.83243,                  1.126,                  1.067,                0.60993,                0.83889,                  0.995,                0.77636,                 1.0479,                 2.2052,                 1.2887,              0.0012049,              0.0012049,              0.0012049
                     87,                0.70667,                 1.0541,                 1.0517,                0.60993,                0.83889,                  0.995,                0.77636,                 1.0479,                 2.2052,                 1.2887,              0.0011994,              0.0011994,              0.0011994
                     88,                0.78643,                 1.2118,                 1.0963,                0.63934,                      1,                  0.995,                0.69627,                 1.2245,                 1.6426,                  1.378,              0.0011939,              0.0011939,              0.0011939
                     89,                0.84089,                 1.1803,                 1.0698,                0.63934,                      1,                  0.995,                0.69627,                 1.2245,                 1.6426,                  1.378,              0.0011884,              0.0011884,              0.0011884
                     90,                0.80728,                 1.2298,                 1.0664,                0.76295,                      1,                  0.995,                0.74275,                 1.1667,                 1.3914,                 1.3184,              0.0011829,              0.0011829,              0.0011829
                     91,                0.78742,                 1.1142,                 1.0847,                0.76295,                      1,                  0.995,                0.74275,                 1.1667,                 1.3914,                 1.3184,              0.0011774,              0.0011774,              0.0011774
                     92,                0.75703,                0.95943,                 1.0047,                0.72793,                      1,                  0.995,                0.74485,                 1.1121,                 1.3262,                 1.1795,              0.0011719,              0.0011719,              0.0011719
                     93,                0.67615,                0.98401,                0.95184,                0.72793,                      1,                  0.995,                0.74485,                 1.1121,                 1.3262,                 1.1795,              0.0011664,              0.0011664,              0.0011664
                     94,                0.76166,                0.96802,                 1.0053,                0.79763,                      1,                  0.995,                0.75284,                 1.0813,                 1.2095,                  1.176,              0.0011609,              0.0011609,              0.0011609
                     95,                0.78827,                  1.058,                 1.0735,                0.79763,                      1,                  0.995,                0.75284,                 1.0813,                 1.2095,                  1.176,              0.0011554,              0.0011554,              0.0011554
                     96,                0.75026,                 1.0085,                 1.0003,                0.94134,                      1,                  0.995,                0.74331,                  1.026,                  1.242,                 1.1664,              0.0011499,              0.0011499,              0.0011499
                     97,                0.70458,                0.91004,                0.93188,                0.94134,                      1,                  0.995,                0.74331,                  1.026,                  1.242,                 1.1664,              0.0011444,              0.0011444,              0.0011444
                     98,                 0.7778,                0.97457,                 1.0569,                 0.9408,                      1,                  0.995,                0.76839,                0.92339,                 1.2204,                 1.1124,              0.0011389,              0.0011389,              0.0011389
                     99,                0.86988,                 1.0853,                 1.1671,                 0.9408,                      1,                  0.995,                0.76839,                0.92339,                 1.2204,                 1.1124,              0.0011334,              0.0011334,              0.0011334
                    100,                0.77278,                0.94047,                 1.0401,                0.95735,                      1,                  0.995,                0.82133,                0.85052,                 1.0767,                 1.0873,              0.0011279,              0.0011279,              0.0011279
                    101,                0.80964,                 1.0569,                 1.0371,                0.95735,                      1,                  0.995,                0.82133,                0.85052,                 1.0767,                 1.0873,              0.0011224,              0.0011224,              0.0011224
                    102,                0.72766,                0.87572,                0.97826,                0.95998,                      1,                  0.995,                0.85786,                0.86887,                 1.0727,                  1.066,              0.0011169,              0.0011169,              0.0011169
                    103,                0.70114,                0.81157,                0.95817,                0.95998,                      1,                  0.995,                0.85786,                0.86887,                 1.0727,                  1.066,              0.0011114,              0.0011114,              0.0011114
                    104,                0.67342,                0.87628,                0.97171,                0.89917,                      1,                  0.995,                0.80083,                0.94674,                 1.1218,                 1.1527,              0.0011059,              0.0011059,              0.0011059
                    105,                0.76833,                0.90013,                 1.0863,                0.89917,                      1,                  0.995,                0.80083,                0.94674,                 1.1218,                 1.1527,              0.0011004,              0.0011004,              0.0011004
                    106,                 0.6715,                0.87687,                 0.9943,                0.98382,                0.81598,                  0.995,                0.79336,                0.94635,                 1.2993,                 1.0936,              0.0010949,              0.0010949,              0.0010949
                    107,                0.74064,                 1.0559,                 1.0345,                0.98382,                0.81598,                  0.995,                0.79336,                0.94635,                 1.2993,                 1.0936,              0.0010894,              0.0010894,              0.0010894
                    108,                 0.7648,                0.96785,                 1.0935,                0.97327,                0.82915,                  0.995,                0.79583,                0.95177,                 1.4706,                 1.0801,              0.0010839,              0.0010839,              0.0010839
                    109,                0.78868,                0.93136,                 1.0972,                0.97327,                0.82915,                  0.995,                0.79583,                0.95177,                 1.4706,                 1.0801,              0.0010784,              0.0010784,              0.0010784
                    110,                0.67725,                0.81732,                 1.0304,                0.97593,                 0.8346,                  0.995,                0.83006,                0.84864,                 1.5061,                 1.0167,              0.0010729,              0.0010729,              0.0010729
                    111,                0.75573,                0.88091,                 1.0064,                0.97593,                 0.8346,                  0.995,                0.83006,                0.84864,                 1.5061,                 1.0167,              0.0010674,              0.0010674,              0.0010674
                    112,                0.73298,                0.94683,                 1.0155,                0.97363,                0.81756,                  0.995,                  0.863,                0.81402,                 1.4496,                 1.0232,              0.0010619,              0.0010619,              0.0010619
                    113,                0.66821,                0.84736,                0.99922,                0.97363,                0.81756,                  0.995,                  0.863,                0.81402,                 1.4496,                 1.0232,              0.0010564,              0.0010564,              0.0010564
                    114,                0.71229,                0.85933,                 1.0106,                0.79055,                0.89225,                  0.995,                0.83801,                0.84876,                  1.487,                 1.0575,              0.0010509,              0.0010509,              0.0010509
                    115,                0.70805,                0.90444,                 1.0385,                0.79055,                0.89225,                  0.995,                0.83801,                0.84876,                  1.487,                 1.0575,              0.0010454,              0.0010454,              0.0010454
                    116,                0.71245,                 0.8601,                 1.0404,                0.75588,                0.79245,                  0.995,                0.87643,                0.90416,                 1.5445,                 1.0808,              0.0010399,              0.0010399,              0.0010399
                    117,                0.76519,                0.91068,                 1.0492,                0.75588,                0.79245,                  0.995,                0.87643,                0.90416,                 1.5445,                 1.0808,              0.0010344,              0.0010344,              0.0010344
                    118,                0.72831,                0.92869,                 1.0084,                0.75818,                0.82508,                  0.995,                0.79995,                0.98998,                 1.4364,                 1.1392,              0.0010289,              0.0010289,              0.0010289
                    119,                0.82936,                0.92494,                 1.1169,                0.75818,                0.82508,                  0.995,                0.79995,                0.98998,                 1.4364,                 1.1392,              0.0010234,              0.0010234,              0.0010234
                    120,                0.83509,                0.93497,                 1.0812,                0.89232,                0.85534,                  0.995,                0.80577,                 1.0162,                 1.1564,                 1.1107,              0.0010179,              0.0010179,              0.0010179
                    121,                0.80791,                0.84282,                 1.1061,                0.89232,                0.85534,                  0.995,                0.80577,                 1.0162,                 1.1564,                 1.1107,              0.0010124,              0.0010124,              0.0010124
                    122,                0.76978,                0.95211,                 1.0583,                0.94067,                0.90832,                  0.995,                0.84558,                0.84244,                 1.0229,                 1.0199,              0.0010069,              0.0010069,              0.0010069
                    123,                0.66417,                0.77676,                0.99408,                0.94067,                0.90832,                  0.995,                0.84558,                0.84244,                 1.0229,                 1.0199,              0.0010014,              0.0010014,              0.0010014
                    124,                0.74473,                 0.8923,                 1.0708,                0.94431,                0.90998,                  0.995,                0.84797,                0.75949,                0.94146,                0.99419,             0.00099587,             0.00099587,             0.00099587
                    125,                0.70861,                0.83386,                 1.0032,                0.94431,                0.90998,                  0.995,                0.84797,                0.75949,                0.94146,                0.99419,             0.00099036,             0.00099036,             0.00099036
                    126,                0.77425,                0.89259,                 1.0594,                0.92764,                 0.9374,                  0.995,                0.83547,                0.83137,                 0.8405,                 1.0187,             0.00098486,             0.00098486,             0.00098486
                    127,                0.68193,                0.78288,                0.98459,                0.92764,                 0.9374,                  0.995,                0.83547,                0.83137,                 0.8405,                 1.0187,             0.00097936,             0.00097936,             0.00097936
                    128,                0.81264,                0.83973,                 1.0598,                0.90881,                0.99015,                  0.995,                0.83146,                0.84299,                0.81193,                 1.0315,             0.00097386,             0.00097386,             0.00097386
                    129,                0.71721,                 0.8703,                 1.0262,                0.90881,                0.99015,                  0.995,                0.83146,                0.84299,                0.81193,                 1.0315,             0.00096836,             0.00096836,             0.00096836
                    130,                0.73076,                0.80023,                 1.0125,                  0.917,                 0.9927,                  0.995,                0.84816,                0.77131,                 0.7751,                 1.0005,             0.00096286,             0.00096286,             0.00096286
                    131,                0.68327,                0.82919,                 1.0542,                  0.917,                 0.9927,                  0.995,                0.84816,                0.77131,                 0.7751,                 1.0005,             0.00095736,             0.00095736,             0.00095736
                    132,                0.63927,                0.81935,                0.98095,                0.92919,                0.99274,                  0.995,                0.85793,                 0.7704,                0.81147,                0.97748,             0.00095186,             0.00095186,             0.00095186
                    133,                0.67618,                0.89478,                 1.0123,                0.92919,                0.99274,                  0.995,                0.85793,                 0.7704,                0.81147,                0.97748,             0.00094636,             0.00094636,             0.00094636
                    134,                 0.6853,                0.81821,                 1.0046,                0.93958,                0.99263,                  0.995,                0.84066,                0.79151,                0.76858,                 0.9651,             0.00094085,             0.00094085,             0.00094085
                    135,                0.69297,                0.80676,                 1.0463,                0.93958,                0.99263,                  0.995,                0.84066,                0.79151,                0.76858,                 0.9651,             0.00093535,             0.00093535,             0.00093535
                    136,                 0.6658,                0.78521,                 1.0117,                0.95602,                0.99926,                  0.995,                0.83569,                0.76123,                0.76855,                0.94272,             0.00092985,             0.00092985,             0.00092985
                    137,                0.62055,                0.76651,                0.97708,                0.95602,                0.99926,                  0.995,                0.83569,                0.76123,                0.76855,                0.94272,             0.00092435,             0.00092435,             0.00092435
                    138,                0.66735,                0.77076,                 1.0207,                0.95749,                0.99781,                  0.995,                0.80571,                0.75512,                0.77777,                0.97098,             0.00091885,             0.00091885,             0.00091885
                    139,                0.65356,                0.77532,                  1.016,                0.95749,                0.99781,                  0.995,                0.80571,                0.75512,                0.77777,                0.97098,             0.00091335,             0.00091335,             0.00091335
                    140,                0.68006,                0.84032,                 1.0474,                 0.9592,                0.99726,                  0.995,                 0.7882,                  0.757,                0.76893,                 1.0074,             0.00090785,             0.00090785,             0.00090785
                    141,                0.66983,                0.74712,                0.97698,                 0.9592,                0.99726,                  0.995,                 0.7882,                  0.757,                0.76893,                 1.0074,             0.00090235,             0.00090235,             0.00090235
                    142,                0.71099,                0.79062,                 1.0173,                0.97077,                 0.9737,                  0.995,                0.83564,                0.71223,                0.75589,                 1.0082,             0.00089685,             0.00089685,             0.00089685
                    143,                0.72296,                 0.8168,                 1.0103,                0.97077,                 0.9737,                  0.995,                0.83564,                0.71223,                0.75589,                 1.0082,             0.00089134,             0.00089134,             0.00089134
                    144,                0.58739,                0.73774,                0.94151,                0.95666,                0.98167,                  0.995,                 0.8943,                0.67237,                0.82902,                0.98541,             0.00088584,             0.00088584,             0.00088584
                    145,                0.63122,                0.72751,                0.97202,                0.95666,                0.98167,                  0.995,                 0.8943,                0.67237,                0.82902,                0.98541,             0.00088034,             0.00088034,             0.00088034
                    146,                0.57078,                0.73585,                0.95922,                0.89228,                0.92957,                  0.995,                0.90031,                0.69938,                0.96356,                 1.0064,             0.00087484,             0.00087484,             0.00087484
                    147,                0.64203,                0.83179,                0.99941,                0.89228,                0.92957,                  0.995,                0.90031,                0.69938,                0.96356,                 1.0064,             0.00086934,             0.00086934,             0.00086934
                    148,                 0.7621,                0.89754,                 1.1287,                0.95658,                0.94315,                  0.995,                0.83468,                0.76204,                 1.1099,                 1.0169,             0.00086384,             0.00086384,             0.00086384
                    149,                 0.6777,                0.84971,                 1.0738,                0.95658,                0.94315,                  0.995,                0.83468,                0.76204,                 1.1099,                 1.0169,             0.00085834,             0.00085834,             0.00085834
                    150,                0.62021,                0.69969,                0.97049,                0.96373,                0.98678,                  0.995,                0.81072,                0.81641,                0.96226,                 1.0531,             0.00085284,             0.00085284,             0.00085284
                    151,                 0.6687,                0.74505,                0.97555,                0.96373,                0.98678,                  0.995,                0.81072,                0.81641,                0.96226,                 1.0531,             0.00084734,             0.00084734,             0.00084734
                    152,                0.72895,                0.76717,                 1.0468,                0.97714,                      1,                  0.995,                0.82361,                0.84318,                0.81467,                 1.0859,             0.00084184,             0.00084184,             0.00084184
                    153,                0.62679,                0.71867,                 1.0011,                0.97714,                      1,                  0.995,                0.82361,                0.84318,                0.81467,                 1.0859,             0.00083633,             0.00083633,             0.00083633
                    154,                0.67991,                 0.6995,                0.96869,                0.98568,                      1,                  0.995,                0.82431,                0.83351,                0.75102,                 1.1244,             0.00083083,             0.00083083,             0.00083083
                    155,                0.58495,                0.63198,                 0.9421,                0.98568,                      1,                  0.995,                0.82431,                0.83351,                0.75102,                 1.1244,             0.00082533,             0.00082533,             0.00082533
